Id,Predicted
114982,379833.0270658576
95653,493612.1887597564
109506,259250.08680389062
100149,435464.3510729197
7610,329514.1348632964
61101,351460.55722730025
68167,450626.1308886452
65701,361435.7946388129
56039,302412.76588481624
81919,478558.44227855426
99768,413708.024152393
3942,375697.7567589056
118904,481888.1608561757
30060,368089.5644401411
185729,553034.2859944166
20662,361109.7891587006
53369,194648.6784469639
20145,327053.87469148834
159051,604468.8360790288
31481,329127.88646709325
142247,381761.6492449004
29119,340336.4517184998
151448,432516.4536240412
60594,272470.04069240537
83400,521319.5201847394
40168,309795.03211118624
52407,380563.6691080736
127232,502858.3619114145
131188,432624.8100140171
952,215917.2182577984
166230,453793.1449197213
144844,438660.03612376284
33207,305169.15761216637
179918,661229.3928876738
162451,753355.0156204586
19390,287961.76428130764
114861,426636.5071278862
132259,363427.8365669979
97052,532609.9316431046
156193,443575.3446577821
174530,633174.5706328851
143835,336586.3641305914
49813,345292.39499110053
3466,526180.6091837853
117691,503155.8677296828
114211,521412.84006509953
116741,484746.5891450228
150011,368136.01529245137
182319,549926.6293685047
99428,383673.2853614666
96435,428386.5647814031
134803,385208.1476194768
115944,530927.4396903524
149001,476723.7067712291
178128,643108.2105130858
74818,383724.4353313601
49603,274190.82220176625
180401,645064.6099057146
87114,468301.3460201246
28848,390931.63746955676
11519,265721.95086837903
7202,290996.8191703765
2843,287808.4932169531
156073,474948.39239999774
132217,436702.72894629923
34614,347930.75591446983
135594,425527.57767591183
62586,394270.2520873712
145868,388155.1242084484
15155,171721.03490825463
61290,334620.16367681714
169996,387040.73361992073
128356,382658.3062293762
134501,491149.58771878906
163406,555923.5271919125
56796,396762.25696767546
142554,518876.20081717084
59547,255146.40790123894
143113,413496.4017502926
154091,428704.2479408543
135899,418573.64541978226
172405,563571.9912215617
184121,593910.7403777657
79995,557171.8447587105
79894,481785.6675867748
113553,389379.51025447645
31931,336584.6406408984
86645,405101.5098878257
123780,336488.7171139934
142940,499132.45227595343
138987,534293.4729271762
41502,233845.7687927381
100104,536837.2224709621
83570,479049.34835812595
181648,664304.2293680472
114567,335716.29226154357
5470,386408.715972689
176926,731057.9790149849
173013,446152.39081708586
110219,407621.15615149884
52178,231750.20946796855
120569,528691.074223075
132710,518432.47851226904
76446,344348.7927846854
140674,418970.704122923
122786,503981.85388873925
66214,412049.5976184931
120240,309685.46789161465
113802,400747.59676044254
169747,464480.5895106747
84049,522712.57489568566
104675,300411.8066351086
92499,372046.9292931075
107783,523404.91781862284
148441,482988.69990302523
12344,257578.44223412004
48139,454574.86337681825
101908,362683.5096755107
134084,429181.7435973338
17216,287943.1001047554
185201,622444.1689911793
185016,617882.2891954798
65253,332017.26897096715
57696,256893.05059024066
30939,402906.02137270896
128338,382207.72526936786
104156,452398.3369651829
41455,385273.7677098413
126390,376871.2748463594
165803,520608.9768290413
108253,412025.1545530032
15221,178158.1398442209
129322,324143.1174300363
150957,473551.8268939766
97028,429024.97748701624
172533,508202.5191488645
147313,426383.2874401463
168865,467364.5617038545
82280,312384.6157883485
4380,336407.0282793733
109861,435409.23892536166
45273,471418.24508293055
77664,435947.0904059258
58355,317425.46313256945
91308,234396.61475789477
169692,490074.18187638593
154931,532934.6377700111
123897,432713.6134800236
43550,458635.9395598257
94084,411396.46951679146
63629,308084.33368431416
163153,438576.86482171546
55701,395671.845001778
59608,532075.8313707978
60785,500995.47512577474
51513,344920.7548884511
145397,450196.6303218464
101693,393228.6098292093
164688,533186.3378453742
82863,382860.4562637942
1754,311982.77060567366
130074,487916.7558172788
29760,332350.78058080765
130642,399973.49762142164
24205,314616.8222598741
165100,435817.75813271664
116369,582205.8071450277
84639,362578.65895825916
97982,493780.2145781428
52033,261306.9191832643
21665,308926.65539852687
62257,248153.19344207353
23904,349555.05093349813
120211,351686.14817006915
173440,385339.21113166015
96942,520769.4209295138
183177,531744.0322658627
30263,334734.09949547425
110123,410975.7151142549
78656,475565.2611185994
7172,303336.2886679339
66304,422757.34817107476
78058,451341.3280652255
176324,647595.6629658171
165880,526261.7037792288
93902,334993.9787422488
116039,352939.09633740614
151166,478778.348858866
40210,288793.29139006493
98367,381544.22956381226
160925,463925.67687165225
104371,540662.5639666766
83660,546758.4009994718
121434,546626.2971585512
64261,360693.9377596199
97749,479379.8652684646
172084,498262.73592987977
52569,304102.25565719005
57400,416950.88008493953
169875,515955.2034443103
58398,371830.75454706774
183622,651239.1142097816
130190,592400.8132720452
108466,355990.28247683484
157786,519568.35811590427
95190,338204.6223308441
87452,467263.6120286341
142203,532285.5620261064
168853,439922.2653533962
64684,380570.9407067733
57446,359318.7945578933
153747,378431.30080207996
159666,439278.71604847815
71555,390113.04682687775
93943,444069.4287789386
109872,551050.1762696814
177223,720899.1810666706
93784,535045.1142693426
132297,439488.7844717863
125110,481289.1888698842
121955,424166.5546005498
82973,550408.2461236656
103986,378407.7992976512
97824,393894.117438669
64151,408193.8642173294
165946,438350.94377473893
159307,405889.6227208419
131434,381705.933762586
8556,446317.58726906084
14032,335625.1503462305
50116,283683.9744812517
97940,441492.52267933835
162134,489412.8980580773
166998,531619.0831267878
137392,472505.745464331
175067,577987.7670443676
172514,594039.7406393441
17738,331658.60278671095
67047,349357.8200651421
142546,518804.1201725979
114400,296622.01837370254
92766,533254.3008798712
60485,414695.43545163394
91648,434348.3855344424
25180,434726.58337756747
48904,244813.8957714457
146550,456710.85381506913
19407,571768.7274232004
47699,352198.40634867887
174106,571841.4182302884
112846,497257.9043750837
83926,436076.15801427775
64285,396338.0170857885
87638,480176.99298721587
53604,309182.5718697951
53244,420004.1674017685
82872,360401.3784385036
173642,394741.04861947935
145405,372502.9728744969
90156,539764.3601920182
5153,315322.29260783177
134959,532117.6796420517
64342,388666.14895296976
40845,289709.3459529701
106257,699010.1329666427
114464,264037.3370408516
97370,418904.1206975607
172227,504656.2738099489
151941,467644.4747592019
107035,480302.01364873134
169795,504837.78897561564
83718,440874.8963815496
42632,229088.927514008
68198,409609.1394365302
